Feature,Mean |SHAP value|
month_cos,17.617582827360177
us_aqi,9.911321136095658
aqi_rolling_max_24h,4.125612565053021
day_of_month,2.750742448588754
aqi_rolling_min_24h,2.671942798227108
aqi_lag_24h,2.6132237630871726
pm2_5_rolling_mean_24h,1.9859289969618708
month,1.6358460862482598
aqi_rolling_mean_24h,1.5220650918949608
aqi_lag_12h,1.3694219087522357
pm2_5_to_pm10_ratio,1.2720415030963736
aqi_rolling_std_24h,0.985249652068138
pm10_lag_24h,0.5923999620321143
day_of_week,0.42917632902529107
pm2_5_rolling_std_24h,0.2772779837745679
