Feature,Mean |SHAP value|
us_aqi,23.81982291275887
no2_to_co_ratio,12.565889877737215
aqi_rolling_max_24h,9.066592825176421
pm2_5_rolling_mean_24h,5.9563215742699045
aqi_rolling_min_24h,4.003097046344999
month_cos,1.9713378938390254
pm2_5_rolling_std_24h,1.6066336111518726
day_of_month,0.8134552027330131
pm2_5_to_pm10_ratio,0.5861437953900268
aqi_momentum_24h,0.48224181310722725
day_of_week,0.44017866937132577
aqi_change_24h,0.35622728177307994
aqi_rolling_std_24h,0.25366411504139175
aqi_lag_24h,0.16989376175326887
aqi_momentum_6h,0.1339132293560579
